LEPTOSPIROSE - Casos confirmados notificados no Sistema de Informação de Agravos de Notificação - Brasil
Casos confirmados por Município de residência e Ano 1º Sintoma(s)
Período:2001-2006
"Município de residência";"2001";"2002";"2003";"2004";"2005";"2006";"Total"
"251170 Pilõezinhos";-;-;-;-;-;1;1
"251290 Rio Tinto";-;-;-;-;-;1;1
"251370 Santa Rita";-;-;-;2;1;-;3
"250070 São João do Rio do Peixe";-;-;1;-;-;-;1
"251597 Sobrado";-;-;-;1;-;-;1
"260005 Abreu e Lima";7;1;1;8;4;1;22
"260030 Agrestina";-;-;2;-;2;1;5
"260040 Água Preta";-;-;-;-;-;1;1
"260050 Águas Belas";-;1;-;-;-;-;1
"260070 Aliança";1;-;-;1;-;-;2
"260080 Altinho";-;-;-;1;1;2;4
"260090 Amaraji";1;-;-;-;-;1;2
"260110 Araripina";-;1;2;-;-;2;5
"260120 Arcoverde";-;1;-;-;-;-;1
"260170 Belo Jardim";1;2;-;-;1;-;4
"260190 Bezerros";-;-;2;1;-;4;7
"260220 Bom Jardim";2;-;-;1;-;-;3
"260290 Cabo de Santo Agostinho";16;9;14;11;10;9;69
"260310 Cachoeirinha";-;-;-;1;-;-;1
"260345 Camaragibe";19;35;13;14;11;6;98
"260370 Canhotinho";-;-;-;-;1;-;1
"260400 Carpina";1;-;-;2;-;1;4
"260410 Caruaru";4;3;1;17;9;7;41
"260415 Casinhas";-;-;-;1;-;-;1
"260420 Catende";-;2;1;-;-;2;5
"260450 Chã Grande";-;1;-;-;-;-;1
"260480 Cortês";-;-;1;-;-;-;1
"260500 Cupira";-;-;-;-;1;-;1
"260520 Escada";8;7;1;4;9;1;30
"260530 Exu";-;-;1;-;-;-;1
"260540 Feira Nova";-;1;-;-;-;-;1
"260545 Fernando de Noronha";-;-;-;-;1;-;1
"260550 Ferreiros";-;-;-;1;-;-;1
"260590 Gameleira";-;-;-;-;1;-;1
"260610 Glória do Goitá";1;-;-;-;-;1;2
"260620 Goiana";-;-;-;-;-;1;1
"260640 Gravatá";-;-;2;2;3;2;9
"260680 Igarassu";1;2;3;3;-;3;12
