LEPTOSPIROSE - Casos confirmados notificados no Sistema de Informação de Agravos de Notificação - Brasil
Casos confirmados por Município de residência e Ano 1º Sintoma(s)
Período:2001-2006
"Município de residência";"2001";"2002";"2003";"2004";"2005";"2006";"Total"
"431890 São Luiz Gonzaga";1;-;-;-;-;-;1
"431900 São Marcos";-;-;-;-;-;1;1
"431910 São Martinho";-;-;-;-;-;1;1
"431915 São Miguel das Missões";1;-;-;-;-;-;1
"431940 São Pedro do Sul";1;-;2;1;-;-;4
"431950 São Sebastião do Caí";1;1;-;1;-;-;3
"431960 São Sepé";5;1;1;-;2;-;9
"431975 São Vendelino";1;-;-;-;-;-;1
"431980 São Vicente do Sul";-;1;-;-;-;-;1
"431990 Sapiranga";6;3;4;-;5;6;24
"432000 Sapucaia do Sul";14;10;3;2;2;1;32
"432023 Sede Nova";1;-;-;-;-;-;1
"432026 Segredo";1;-;-;-;-;-;1
"432030 Selbach";2;-;-;-;-;-;2
"432055 Sertão Santana";-;-;-;-;-;1;1
"432065 Silveira Martins";1;-;-;-;2;2;5
"432067 Sinimbu";5;1;13;1;-;-;20
"432070 Sobradinho";-;-;-;-;-;1;1
"432100 Tapera";1;-;-;-;-;-;1
"432110 Tapes";-;-;-;-;3;1;4
"432120 Taquara";1;-;3;1;3;1;9
"432130 Taquari";1;-;-;2;1;-;4
"432143 Terra de Areia";2;1;1;-;-;-;4
"432145 Teutônia";20;3;6;-;-;2;31
"432147 Tiradentes do Sul";1;-;-;-;-;-;1
"432150 Torres";2;-;-;1;-;1;4
"432160 Tramandaí";1;-;-;-;-;-;1
"432166 Três Cachoeiras";-;-;-;-;-;1;1
"432170 Três Coroas";-;2;2;1;-;1;6
"432180 Três de Maio";5;1;5;1;4;25;41
"432190 Três Passos";-;-;1;-;-;-;1
"432195 Trindade do Sul";-;1;-;-;-;1;2
"432200 Triunfo";1;-;2;1;2;-;6
"432210 Tucunduva";2;-;-;-;-;1;3
"432220 Tupanciretã";2;1;-;-;-;1;4
"432230 Tuparendi";3;-;1;1;1;2;8
"432235 União da Serra";-;-;2;-;-;-;2
"432237 Unistalda";-;-;1;-;-;-;1
"432240 Uruguaiana";-;-;1;1;-;-;2
"432253 Vale do Sol";41;15;11;2;6;9;84
"432254 Vale Real";-;1;1;-;1;-;3
"432252 Vale Verde";3;7;2;-;1;1;14
"432260 Venâncio Aires";65;24;40;12;30;11;182
"432270 Vera Cruz";10;33;15;4;4;6;72
"432280 Veranópolis";-;1;-;-;-;-;1
"432285 Vespasiano Correa";2;-;-;-;-;-;2
"432290 Viadutos";-;-;-;-;-;2;2
"432300 Viamão";23;6;15;7;30;19;100
"432320 Victor Graeff";-;-;-;-;-;1;1
"432375 Vitória das Missões";1;-;-;-;-;-;1
"432377 Westfalia";-;-;-;-;-;2;2
"500070 Anastácio";-;-;-;-;1;-;1
"500080 Anaurilândia";-;-;-;-;1;-;1
"500215 Bodoquena";-;-;-;-;2;1;3
"500220 Bonito";1;-;1;2;-;-;4
"500270 Campo Grande";3;4;7;1;5;1;21
"500350 Douradina";-;1;-;-;-;-;1
"500370 Dourados";-;-;-;-;-;1;1
"500375 Eldorado";-;-;-;-;-;1;1
"500500 Jardim";1;-;-;-;-;-;1
"500540 Maracaju";-;-;-;-;2;-;2
"500600 Nova Alvorada do Sul";-;-;-;-;3;-;3
"500660 Ponta Porã";-;-;-;-;-;1;1
"500690 Porto Murtinho";-;-;-;-;1;-;1
"500769 São Gabriel do Oeste";-;-;-;-;-;5;5
"500830 Três Lagoas";3;-;1;1;-;-;5
"510030 Alto Araguaia";-;-;-;2;-;-;2
"510170 Barra do Bugres";-;-;-;-;1;1;2
"510270 Canarana";-;1;-;1;-;-;2
"510335 Confresa";-;-;-;2;-;-;2
"510337 Cotriguaçu";-;-;-;-;-;1;1
"510340 Cuiabá";-;4;-;1;-;1;6
"510395 Glória D'Oeste";-;-;-;-;2;-;2
"510525 Lucas do Rio Verde";-;1;-;-;-;-;1
"510885 Nova Marilândia";-;2;-;1;1;-;4
"510625 Nova Xavantina";-;-;1;1;-;-;2
"510630 Paranatinga";1;3;1;-;1;-;6
"510637 Pedra Preta";-;-;-;-;-;2;2
"510642 Peixoto de Azevedo";-;-;-;1;-;-;1
"510650 Poconé";-;-;-;1;1;-;2
"510700 Poxoréo";-;-;-;-;2;-;2
"510704 Primavera do Leste";-;-;-;1;-;2;3
"510760 Rondonópolis";-;-;-;1;-;1;2
"510724 Santa Carmem";-;-;-;1;-;-;1
"510790 Sinop";-;-;-;1;-;2;3
"510795 Tangará da Serra";-;-;-;-;-;1;1
"510840 Várzea Grande";-;-;1;-;3;1;5
"520025 Águas Lindas de Goiás";1;-;1;1;-;-;3
"520085 Americano do Brasil";-;-;-;1;-;-;1
"520110 Anápolis";-;1;-;-;-;-;1
"520140 Aparecida de Goiânia";-;2;-;1;-;-;3
"520495 Campos Verdes";2;-;-;-;-;-;2
"520510 Catalão";-;-;-;1;-;2;3
"520549 Cidade Ocidental";-;-;-;-;-;1;1
"520760 Fazenda Nova";-;-;-;-;1;-;1
"520800 Formosa";-;1;1;4;1;3;10
"520840 Goianápolis";-;-;-;-;-;1;1
"520870 Goiânia";-;-;-;-;1;1;2
"521150 Itumbiara";-;-;-;2;-;-;2
"521190 Jataí";-;-;-;-;-;1;1
"521250 Luziânia";-;-;1;-;4;2;7
"521308 Minaçu";-;-;-;1;-;-;1
"521340 Moiporá";-;-;-;-;1;-;1
"521523 Novo Gama";-;-;-;1;-;1;2
"521560 Padre Bernardo";-;-;-;1;-;-;1
"521760 Planaltina";2;2;-;1;-;1;6
"521975 Santo Antônio do Descoberto";-;-;1;-;1;-;2
"521980 São Domingos";-;-;-;-;1;-;1
"522045 Senador Canedo";-;-;2;-;-;-;2
"522140 Trindade";-;-;1;-;-;-;1
"522160 Uruaçu";-;-;-;-;-;1;1
"522185 Valparaíso de Goiás";2;-;-;2;1;1;6
"530010 Brasília";28;18;33;40;28;33;180
"000000 Ignorado ou exterior";3;4;1;1;-;-;9
"Total";3711;2773;3006;3097;3534;4369;20490
 Fonte: Ministério da Saúde/SVS - Sistema de Informação de Agravos de Notificação - Sinan 
 Notas:
 
 Excluídos casos não residentes no Brasil
 Períodos Disponíveis ou período - Correspondem aos anos de notificação dos casos.
 Para tabular dados em série histórica selecione na linha a variável de interesse, na Coluna Ano dos 1ºs sintomas;
    em Períodos Disponíveis assinale o ano inicial da série e todos os posteriores até o ano atual (p/ incluir casos notificados
    com atraso) e em Seleções Disponíveis assinale os anos dos 1ºs sintomas (ex: série histórica de nº de casos, 2001 a 2005:
    selecione na linha UF de residência, na Coluna Ano de 1ºs sintomas, em Períodos disponíveis-2001 até o ano atual e
    em Seleções assinale Ano de 1ºs sintomas de 2001 a 2005).
 
